date;tweet;nlikes;nretweets;hashtags
2022-04-24 01:56:10;Si vous vous trouvez étrange un jour, dites vous que certaines personnes vont se lever demain matin pour aller voter fièrement Emmanuel Macron.;364;59;[]
2022-04-24 01:53:11;@cid_sj @NatsokDorje Je me suis battu bien assez longtemps. Si mon pays est assez con pour réélire Macron, il ne mérite pas que je me batte pour lui, et je me suis fait la promesse de partir en juillet dernier. Par ailleurs j'ignore avec quelle arme on combat l'imbécilité 😑;189;22;[]
2022-04-24 01:40:41;Réélection de Macron aujourd’hui, quelle journée;164;51;[]
2022-04-24 01:27:59;Demain si #Macron est élu Francis Lalanne quitte la France. Et si c'est Marine Le Pen c'est Enrico Macias qui quitte la France. J'avoue que le choix est cornélien. Je ne sais plus pour qui voter.;186;24;['macron']
2022-04-24 01:23:44;De plus en plus de personnes ont peur d'une réélection de Macron  C'est quand même le signe que ce mec est dangereux !;702;282;[]
2022-04-24 01:15:21;@ThomasFlxL @Fabien_Roussel Mais demain c’est Le Pen/Macron putain. Non mais le délire absolu du tweet . T’es allé dépecer les carnets scolaires de tous les candidats aussi ?  Vraiment vous avez rien d’autre à faire que nous chercher dès noises ? Ça va plus dans certaines têtes là…;210;20;[]
2022-04-24 01:07:28;Quand est-ce que nos armées vont défoncer #Macron ??? #DGSE vous allez laisser vos Frères en galère sur ordre du poudré ???;133;106;['macron', 'dgse']
2022-04-24 00:58:33;Conférence de presse 20/04/2022 de Didier Raoult. Corruption !  #MarineLePen #Macron #presidentielles2022  https://t.co/RkniFlLOAK;116;78;['marinelepen', 'macron', 'presidentielles2022']
2022-04-24 00:58:20;Quand je vais faire genre de voter Macron demain et ressortir un bulletin de Melenchon de ma poche  https://t.co/qcTCqpGYEd;818;98;[]
2022-04-24 00:52:58;Pour être totalement honnête il est un fait indéniable que pour faire pire que macron il ne reste plus qu'à tirer à balle réelle sur les récalcitrants. #AbstentionMassive;136;48;['abstentionmassive']
2022-04-24 00:49:38;"François Asselineau à propos de Macron #Debat2022 : ""Il est le président de la République qui a endetté le plus la France depuis Vercingétorix… il a menti sur plein de choses…il agit exactement comme un escroc…""  https://t.co/95RY15zwxk";2053;1191;['debat2022']
2022-04-24 00:48:14;"A voté... et je ne suis pas bien  Je ne vous dis pas le nombre de papier "" macron "" que j'ai vu dans la poubelles. Je n'espère rien pour les 972 😭  https://t.co/dOr8H314ke";344;60;[]
2022-04-24 00:45:54;Le covidiot de base je suis pour le pass je suis pour l'obligation vaccinale je suis pro Ukraine Je suis pro Macron Je suis pour la 4eme dose et + Je suis pour le retour du pass J'ai peur du changement climatique Je suis pour le pass climatique Je suis oups trop tard je suis mort;117;51;[]
2022-04-24 00:37:23;Voter blanc, ce sera voter Macron. S'abstenir, ce sera voter Macron. Seul le vote contre Macron compte.;202;96;[]
