date;tweet;nlikes;nretweets;hashtags
2022-05-05 14:52:05;Et pendant ce temps la Marine le pen est parti en vacances ben voyons.;10;5;[]
2022-05-05 14:51:21;je sais pas si vous avez remarqué une chose ... depuis la fin de la présidentielle @MLP_officiel n'est plus sur twitter   on l'entend plus combattre macron  normale car elle a perdu ...vs allez dire  regardez cette vidéo vous allez enfin comprend l'arnaque du RN @RNational_off  https://t.co/gtyZKDzfi9;8;5;[]
2022-05-05 14:26:57;« Si le bloc national s'unit, on pourrait gagner entre 100 et 200 sièges. Sans accord, le RN va venir avec 15 députés. M. Le Pen préfère essayer de tuer Reconquête! plutôt que de revenir avec une force à 150 élus. » Éric Zemmour  #Zemmour #Reconquête  https://t.co/F12IM8MK8v;7;6;['zemmour', 'reconquête']
2022-05-05 14:25:13;@CharlotteBacks surtout ce qui est remarquable c'est le timing de mediapart , pourquoi mnt mais pas avant le 1er tour? on nous prend pour des jambons, avant 1er tour haro sur zemmour, 2eme tour lepen, et 3eme tour LREM, au bénéfice de qui ?;5;1;[]
2022-05-05 14:23:40;« Jean-Luc Mélenchon jette la rancune à la rivière et négocie avec les autres partis. Manifestement, Marine Le Pen n'est pas dans cette disposition d'esprit. »  #Zemmour #Reconquête  https://t.co/QfRnYxFSr9;41;18;['zemmour', 'reconquête']
2022-05-05 14:22:30;« Si le bloc national s'unit, on pourrait gagner entre 100 et 200 sièges. Sans accord, le RN va venir avec 15 députés. M. Le Pen préfère essayer de tuer Reconquête! plutôt que de revenir avec une force à 150 élus. » Éric Zemmour  #Zemmour #Reconquête  https://t.co/cXbYvHoIBS;39;17;['zemmour', 'reconquête']
2022-05-05 14:21:47;@MLP_officiel Elle s’en fout royalement!;8;2;[]
2022-05-05 14:20:28;Merci @MLP_officiel  Toujours en vacances ?  Mélenchon est sur le pont lui … et ça avance pour sa cause.;6;1;[]
2022-05-05 14:20:12;On soutient @BrunoNottin camarades #PCF de la #NUPES qui affrontera #BlanquerMent aux #legislative2022   Circo où Le Pen est arrivé en tête 32% suivi de Macron 25 puis Mélenchon 17% et à peine 22% pour la gauche réunie... la bataille s'annonce difficile ! ✊;6;1;['pcf', 'nupes', 'blanquerment', 'legislative2022']
2022-05-05 14:18:06;"On me dit que @MLP_officiel a pris un peu de vacances ""bien méritées""... Pendant ce temps @JLMelenchon occupe l'espace politique, rassemble la gauche derrière lui et arrange bien #Macron à qui cela donne un vernis ""droitard"" avec un fond islamo et woko compatible... #Desolant";23;22;['macron', 'desolant']
2022-05-05 14:15:40;« Le Pen, qu'elle le veuille ou non, sera diabolisée toute sa vie. J'avais dit que ceux qui l'ont dédiabolisée pendant la campagne du premier tour grâce à Éric Zemmour allaient la rediaboliser au deuxième. » @AlexDevecchio  #Zemmour #Reconquête  https://t.co/wrJAujOOz6;9;5;['zemmour', 'reconquête']
2022-05-05 13:59:45;quand un super démagogue arrivera à unir les électeurs de Marine Le Pen et de Melenchon il y aura de quoi s’inquiéter. Entre-temps il reste encore un peu de temps pour que le gouvernement fasse les réformes, lutte contre l’insécurité et allège les inégalités sociales..;43;9;[]
2022-05-05 13:57:00;Dans les 11 circonscriptions des Français de l'Etranger, Zemmour a fini devant Le Pen et Pécresse. Le vote utile à droite, c'est nous !  @OuelhadjAlain @Ph_TISSOT_Pol @chamouxnicolas @sergesiksik @MarcGuyon @Sophie_Loobuyck @armor_exil @AnneCathG;56;36;[]
2022-05-05 13:48:54;"🗣️ @Rafael_Eyth ""On nous vend une tripartisation de la politique française. C'est à nuancer : entre JL Mélenchon et M. Le Pen, il y a des points d'accord !""  📺 https://t.co/4gFzpaeDcX  https://t.co/I5KQ4IPCjE";6;3;[]
2022-05-05 13:48:29;Après la la promesse d’un SMIC à 1400 euros net alors qu’il est déjà à 1450 euros net avec la prime d’activité, une nvelle escroquerie de #Melenchon sur la retraite! Comme le pen, il propose 40 annuités! Donc, si t’as commencé à 25 ans, tu pars à 65 ans!⬇️  https://t.co/QlP0LEw6Hu;25;20;['melenchon']
2022-05-05 13:43:40;@WXelka « À droite le patriote Éric Zemmour, à gauche la socialiste Marine Le Pen.  Abonnez-vous et donnez à notre tipee pour encore plus de contenu politique apolitique ! »;16;0;[]
2022-05-05 13:43:14;@EleonoreBez @MLP_officiel Ces quoi ces comptes !??? Il faut que le RN disparaisse afin que puisse émerger une vraie droite patriote et qui ne pense pas qu'à sa boutique, mais à sauver la France !! Tant que le RN sera là, rien ne changera en France !!! Aucune voix pour le RN !!!  https://t.co/DgN0ZaxVTl;6;1;[]
2022-05-05 13:36:05;@MLP_officiel Avenir : La France a besoin de toutes les forces patriotes pour résister à la politique de deconstruction mise en œuvre par le pouvoir en place . Faites l’union pour sauver la France.;8;1;[]
2022-05-05 13:35:44;@MLP_officiel Et le drame des législatives 2022?;5;0;[]
2022-05-05 13:33:03;@MLP_officiel Merci de prendre le temps de nous écrire pendant vos vacances;5;0;[]
2022-05-05 13:31:08;@MLP_officiel Vous comptez faire une alliance des droites ou perdre aux législatives ?;11;2;[]
2022-05-05 13:31:00;@lavieestmeg De même, pourquoi le vote utile Mélanchon est devenu un vote d'adhésion des français Et le vote Macron ne vaut pas adhésion mais barrage à LePen;9;2;[]
2022-05-05 13:28:05;@MLP_officiel On veut un accord pour les législatives. Entendez-nous.;16;0;[]
2022-05-05 13:26:44;@MLP_officiel Ben ! Elle est sortie de sa longue léthargie !;7;0;[]
2022-05-05 13:25:44;Il y a 30 ans, le drame de Furiani endeuillait la France toute entière. J’ai une pensée particulière pour les victimes et leurs familles. Je me réjouis que désormais, le 5 mai soit une journée sans match. N’oublions jamais.;760;133;[]
2022-05-05 13:24:01;@Napo1852 @MLP_officiel Elle est en vacances. Quand elle va rentrer, on va voir ce qu'on va voir, hein, voilà.;25;0;[]
2022-05-05 13:23:48;@coucou564 @ErwanBruckert @paul_denton @LEXPRESS vous préférez Le Pen visiblement!;9;0;[]
2022-05-05 13:20:10;@EleonoreBez @MLP_officiel Oula... T'emballes pas. Soustrais les #Reconquête qui ont voté pour elle pour faire barrage. Là c'est terminé, elle n'aura plus jamais nos voix.;6;1;['reconquête']
2022-05-05 13:19:38;Elle a une rencontre avec Marine Le Pen pour lui parler des sa candidature aux législatives ?;6;0;[]
2022-05-05 13:18:10;Toujours pas d'alliance RN, reconquête, Marine le Pen ne mérites vraiment pas son électorat et encore moins celui de Éric Zemmour, je souhaite que le RN chute à grande vitesse, surtout surtout vive Éric Zemmour;7;2;[]
2022-05-05 13:11:48;@EleonoreBez @MLP_officiel SVP... Enlevez les Reconquête.. . Nous avons voté Marine à la demande de Zemmour...;6;2;[]
2022-05-05 13:09:47;Bravo @BCazeneuve pour votre clairvoyance. Le #PS qui sombre dans le magma islamo-gauchiste et indigéniste-woke de #NUPSE signe l’arrêt de mort du parti héritier de Jaurès.  Désormais le peuple c’est Le Pen !  https://t.co/YA56i722C6;8;6;['ps', 'nupse']
2022-05-05 13:06:26;Frédéric Durand : «Eric Zemmour est apparu comme le plus clivant de la droite nationale or c’est tout ce que redoute Marine Le Pen qui essaie de se défaire de l’image de son père» dans #MidiNews  https://t.co/sFzfYN8i9B;19;6;['midinews']
